Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
27.09.04,6:00:00,1.5,9.0,99,14.4,60.3,,
12.11.04,21:00:00,3.8,12.6,166,15.8,61.1,,
13.06.04,23:00:00,0.8,2.6,57,19.6,45.3,,
17.03.04,3:00:00,0.7,2.6,-200,13.1,57.9,26.34273913,58.62736159
02.06.04,3:00:00,-200.0,5.2,-200,18.5,70.7,,
27.12.04,11:00:00,1.6,6.4,119,13.5,59.9,,
06.11.04,20:00:00,2.5,12.0,90,19.5,58.9,,
15.02.05,4:00:00,-200.0,0.5,30,6.9,39.1,,
14.06.04,5:00:00,0.3,0.8,28,19.1,52.7,,
03.02.05,6:00:00,0.4,2.8,130,2.1,60.3,,
06.01.05,22:00:00,1.6,7.3,127,12.0,67.5,,
04.10.04,17:00:00,-200.0,30.3,-200,28.4,37.5,,
24.05.04,22:00:00,0.7,4.8,73,17.3,25.6,128.4713457,66.99178706
22.03.05,0:00:00,1.3,5.9,106,13.3,65.6,,
04.02.05,5:00:00,0.4,2.2,80,3.9,65.5,,
26.03.04,4:00:00,0.7,2.2,59,8.0,69.4,86.48527141,108.5456471
25.02.05,23:00:00,2.7,10.1,170,5.1,68.2,,
27.01.05,5:00:00,0.4,0.3,26,4.1,45.9,,
24.01.05,5:00:00,0.3,0.6,40,6.6,51.3,,
07.03.05,2:00:00,0.9,1.7,84,5.1,51.2,,
19.01.05,0:00:00,0.9,6.6,124,9.5,83.8,,
15.07.04,13:00:00,2.0,12.6,131,35.7,18.9,,
29.12.04,12:00:00,-200.0,4.3,-200,11.1,55.3,,
22.08.04,5:00:00,-200.0,3.7,-200,19.4,64.5,,
14.11.04,21:00:00,1.0,2.8,97,10.0,41.4,,
30.03.04,8:00:00,4.0,23.8,130,13.3,35.6,80.54738047,110.07533570000001
19.02.05,17:00:00,1.4,5.3,140,13.5,29.1,,
17.04.04,11:00:00,-200.0,6.0,-200,16.8,61.0,177.9741142,211.7662191
25.03.05,1:00:00,1.5,6.3,128,15.3,73.3,,
16.06.04,21:00:00,2.5,12.9,117,24.4,40.0,,
20.09.04,5:00:00,0.5,2.7,47,20.2,60.8,,
09.08.04,11:00:00,1.2,8.0,39,32.7,34.1,,
19.12.04,21:00:00,4.3,13.8,151,5.8,84.5,,
03.04.04,21:00:00,-200.0,8.5,-200,18.7,50.4,84.99928062,113.37861629999999
25.07.04,20:00:00,1.6,6.6,110,28.5,41.6,,
25.09.04,13:00:00,1.4,6.0,9,19.8,31.2,,
16.05.04,8:00:00,0.9,5.2,69,16.3,45.1,113.7870695,60.05642262
11.11.04,6:00:00,1.1,6.1,89,8.3,77.2,,
05.09.04,3:00:00,0.9,4.2,-200,27.1,33.3,,
13.05.04,6:00:00,1.0,4.5,85,15.9,55.3,125.74704990000001,60.09942887
26.05.04,23:00:00,-200.0,13.3,-200,21.1,30.9,,
19.05.04,5:00:00,0.3,2.2,46,17.0,49.2,117.13822579999999,60.131122600000005
14.09.04,13:00:00,-200.0,14.0,-200,33.2,33.8,,
14.12.04,1:00:00,2.0,9.9,103,7.6,74.3,,
04.11.04,5:00:00,0.5,2.6,40,16.1,73.5,,
05.06.04,1:00:00,1.5,7.8,-200,20.7,50.0,,
21.11.04,7:00:00,-200.0,3.6,84,1.8,61.7,,
22.06.04,5:00:00,0.3,2.2,37,19.0,52.8,,
05.04.04,4:00:00,-200.0,0.9,-200,16.0,54.0,125.710043,158.5685642
06.04.04,22:00:00,1.3,5.9,81,15.8,48.6,160.8713247,148.0250835
24.09.04,7:00:00,3.5,21.1,114,21.3,61.6,,
15.02.05,18:00:00,2.4,12.3,181,10.4,23.1,,
11.03.04,16:00:00,2.2,8.3,131,9.7,71.2,46.33684195,60.80378756
16.12.04,16:00:00,5.5,-200.0,236,-200.0,-200.0,,
26.12.04,7:00:00,0.4,0.9,67,10.7,80.7,,
29.06.04,1:00:00,0.8,6.0,65,27.5,41.3,,
09.03.05,20:00:00,5.9,24.4,199,11.5,53.9,,
17.02.05,11:00:00,1.2,3.9,139,9.0,41.4,,
10.09.04,6:00:00,0.7,5.5,73,22.3,43.8,,
14.03.05,7:00:00,1.6,7.5,127,9.9,67.6,,
30.12.04,4:00:00,-200.0,0.9,-200,8.8,45.2,,
29.06.04,8:00:00,5.7,33.5,140,27.1,43.1,,
14.04.04,14:00:00,-200.0,12.8,-200,21.4,28.7,122.360731,150.1896641
06.03.05,18:00:00,2.3,8.6,162,10.1,33.2,,
02.10.04,16:00:00,-200.0,9.6,-200,26.5,45.9,,
09.03.05,16:00:00,1.7,7.6,102,17.6,34.1,,
14.09.04,3:00:00,-200.0,3.9,-200,20.8,62.1,,
02.06.04,21:00:00,-200.0,8.7,82,22.8,56.1,,
27.08.04,19:00:00,2.3,-200.0,116,-200.0,-200.0,,
23.05.04,21:00:00,1.0,6.1,69,21.4,46.6,126.2940498,65.62607228
16.09.04,13:00:00,2.1,11.7,127,23.3,47.1,,
07.05.04,1:00:00,2.0,7.5,91,13.5,67.8,31.83945264,131.5931023
01.01.05,0:00:00,-200.0,4.2,-200,8.2,40.1,,
02.02.05,11:00:00,4.3,14.8,205,9.7,40.1,,
23.01.05,15:00:00,-200.0,9.0,169,8.3,41.3,,
15.02.05,21:00:00,3.1,11.6,196,8.2,30.1,,
27.07.04,22:00:00,-200.0,7.2,88,25.3,28.4,,
15.02.05,13:00:00,1.3,5.5,138,12.3,19.3,,
08.03.05,13:00:00,1.8,8.1,162,14.0,16.8,,
23.01.05,10:00:00,-200.0,6.4,162,5.0,47.5,,
17.09.04,9:00:00,1.4,6.7,81,20.2,53.1,,
17.08.04,21:00:00,-200.0,9.3,-200,29.1,33.6,,
18.08.04,6:00:00,-200.0,6.3,-200,23.8,41.8,,
18.09.04,23:00:00,2.5,12.1,116,22.2,47.9,,
13.04.04,14:00:00,1.8,9.7,87,16.6,36.7,149.29264719999998,161.8292076
18.12.04,15:00:00,0.6,2.4,64,15.0,16.3,,
10.02.05,8:00:00,3.3,-200.0,247,-200.0,-200.0,,
06.07.04,8:00:00,5.1,31.0,145,24.9,43.3,,
30.11.04,9:00:00,3.6,17.5,122,13.0,76.0,,
01.04.04,16:00:00,2.3,-200.0,93,-200.0,-200.0,78.76825121,119.012694
15.10.04,1:00:00,-200.0,4.3,-200,14.8,83.8,,
29.04.04,4:00:00,-200.0,2.5,44,14.6,63.4,187.03408059999998,215.32526209999997
14.08.04,21:00:00,1.2,6.1,72,28.2,45.9,,
03.01.05,7:00:00,1.8,-200.0,121,-200.0,-200.0,,
27.10.04,4:00:00,-200.0,3.1,51,17.0,81.0,,
23.04.04,3:00:00,-200.0,2.8,-200,14.6,53.0,183.033183,219.7637761
22.07.04,23:00:00,2.5,14.6,105,29.4,38.7,,
02.09.04,14:00:00,-200.0,11.1,-200,34.4,24.0,,
28.12.04,22:00:00,-200.0,6.4,-200,9.6,82.9,,
31.10.04,16:00:00,2.2,10.1,79,23.0,62.3,,
18.11.04,18:00:00,4.6,20.4,220,17.3,53.6,,
29.03.04,23:00:00,1.0,2.8,74,12.4,31.9,73.39535043,110.34590619999999
02.02.05,18:00:00,4.8,19.5,171,10.5,25.1,,
28.03.04,15:00:00,1.4,4.8,65,18.0,27.3,89.8189125,103.3663311
01.11.04,17:00:00,3.7,16.4,110,23.2,65.6,,
19.02.05,12:00:00,2.3,6.4,210,7.4,43.8,,
26.08.04,5:00:00,0.5,2.8,45,23.7,46.7,,
17.10.04,21:00:00,-200.0,7.8,-200,15.8,57.6,,
19.01.05,23:00:00,1.2,3.9,97,8.8,50.9,,
28.04.04,18:00:00,4.8,28.9,160,24.3,37.3,186.057024,211.0776534
21.12.04,14:00:00,2.1,7.8,132,8.5,34.3,,
24.09.04,21:00:00,0.7,2.2,57,14.0,75.4,,
02.02.05,21:00:00,4.1,15.6,212,6.7,39.6,,
23.06.04,1:00:00,0.8,4.6,66,22.8,43.9,,
13.01.05,15:00:00,2.7,14.1,134,14.0,56.3,,
20.10.04,16:00:00,4.7,30.9,167,24.8,57.7,,
15.08.04,0:00:00,0.7,3.5,37,26.1,50.8,,
03.08.04,4:00:00,-200.0,2.3,55,25.8,50.9,,
04.06.04,15:00:00,-200.0,10.2,-200,25.8,32.6,,
13.03.05,4:00:00,-200.0,2.5,63,13.2,49.7,,
14.12.04,6:00:00,1.1,5.4,92,6.0,77.3,,
21.05.04,22:00:00,2.5,13.3,126,20.5,35.9,111.5518846,64.69212772
18.08.04,18:00:00,1.5,8.9,72,36.4,26.8,,
20.09.04,14:00:00,2.6,11.8,125,30.5,29.3,,
31.03.05,14:00:00,0.9,3.1,91,22.6,33.2,,
24.04.04,0:00:00,2.8,13.4,113,18.2,49.7,174.4807063,212.62686060000001
03.04.05,21:00:00,1.5,6.0,158,16.4,46.6,,
16.08.04,8:00:00,1.6,10.9,65,23.6,40.8,,
01.08.04,7:00:00,0.4,2.9,21,24.1,63.1,,
30.08.04,22:00:00,-200.0,9.4,-200,25.0,47.6,,
25.12.04,12:00:00,3.4,13.2,147,10.7,65.0,,
06.03.05,9:00:00,0.7,1.5,79,7.3,48.7,,
20.10.04,7:00:00,-200.0,26.1,-200,18.8,73.0,,
17.03.05,23:00:00,1.9,8.1,173,13.7,48.6,,
07.06.04,16:00:00,2.3,15.2,113,34.3,19.4,,
13.01.05,7:00:00,1.6,8.0,103,7.7,76.8,,
02.11.04,8:00:00,3.4,20.7,85,17.1,72.8,,
23.12.04,8:00:00,3.6,13.4,169,1.4,61.3,,
18.04.04,22:00:00,-200.0,6.6,-200,15.5,63.3,181.9782827,211.5914126
07.02.05,12:00:00,1.4,5.7,154,12.9,20.6,,
13.06.04,6:00:00,0.4,1.5,37,21.6,48.1,,
09.10.04,0:00:00,1.6,9.9,66,22.3,60.6,,
29.04.04,18:00:00,5.4,28.6,145,20.2,48.6,52.37619909,162.1148834
11.02.05,12:00:00,4.3,-200.0,250,-200.0,-200.0,,
13.10.04,6:00:00,-200.0,2.2,-200,14.7,57.4,,
19.03.04,2:00:00,0.9,3.6,63,12.5,69.3,42.70657175,50.51755822
24.10.04,9:00:00,1.4,7.8,59,19.1,70.0,,
24.12.04,8:00:00,4.8,14.6,149,5.7,61.3,,
29.03.04,18:00:00,2.5,10.2,114,16.1,31.3,87.94836014,108.08933020000002
18.02.05,8:00:00,2.1,7.9,205,6.9,48.8,,
04.04.05,1:00:00,0.6,1.9,58,13.8,51.2,,
11.10.04,12:00:00,2.7,15.2,91,21.1,64.0,,
16.03.04,20:00:00,3.2,15.8,143,20.4,36.7,26.61954635,50.48496895
08.11.04,3:00:00,0.4,0.5,-200,11.5,50.4,,
25.06.04,20:00:00,3.4,15.9,140,28.1,22.4,,
25.06.04,2:00:00,0.9,3.6,52,24.8,43.4,,
28.09.04,20:00:00,4.5,23.1,175,20.9,45.8,,
16.11.04,15:00:00,2.2,10.9,148,17.9,22.3,,
15.08.04,10:00:00,1.0,5.3,56,32.1,34.0,,
10.09.04,14:00:00,1.9,12.6,135,33.0,20.1,,
23.09.04,14:00:00,2.6,15.8,130,29.8,38.0,,
06.05.04,1:00:00,0.9,3.4,58,12.0,75.0,41.56995243,138.56585819999998
30.08.04,1:00:00,-200.0,4.5,-200,23.8,57.8,,
27.03.05,5:00:00,0.8,2.3,68,15.8,65.4,,
11.07.04,22:00:00,2.4,11.8,136,23.2,43.2,,
07.01.05,5:00:00,0.6,1.4,55,7.2,74.4,,
04.02.05,15:00:00,1.5,6.6,165,12.1,32.3,,
28.05.04,5:00:00,-200.0,3.4,-200,15.5,51.7,,
20.04.04,0:00:00,-200.0,3.9,-200,9.9,77.7,183.4803929,200.2504896
22.07.04,0:00:00,2.4,13.6,95,27.8,43.3,,
22.04.04,11:00:00,-200.0,15.4,-200,26.1,26.8,179.96606169999998,204.04437190000002
02.03.05,22:00:00,1.6,6.2,170,4.8,39.6,,
02.06.04,13:00:00,-200.0,4.7,34,29.6,33.4,,
21.05.04,4:00:00,-200.0,2.8,47,16.5,50.2,113.22168909999998,64.58167041
19.04.04,23:00:00,-200.0,5.3,-200,10.1,77.5,176.58312759999998,212.4873624
27.10.04,12:00:00,3.2,16.8,129,20.7,58.6,,
15.05.04,7:00:00,1.4,9.1,68,16.0,47.4,120.332199,65.82829947
21.06.04,21:00:00,2.1,11.4,112,23.1,41.5,,
05.07.04,8:00:00,3.9,27.7,134,23.7,37.9,,
14.10.04,0:00:00,-200.0,4.0,-200,15.1,56.9,,
19.01.05,5:00:00,-200.0,0.9,52,4.7,78.9,,
24.02.05,5:00:00,0.6,1.2,81,3.3,84.5,,
27.06.04,18:00:00,1.6,7.9,110,38.9,21.4,,
05.02.05,17:00:00,0.9,3.1,121,8.6,32.8,,
12.01.05,22:00:00,3.6,15.2,158,10.7,70.9,,
27.03.04,20:00:00,2.8,12.2,119,13.6,44.9,84.3132378,101.6985196
24.04.04,14:00:00,2.0,11.0,95,24.3,41.8,184.4853198,201.3031909
19.10.04,4:00:00,-200.0,5.6,-200,14.9,73.8,,
18.05.04,6:00:00,0.9,6.3,54,17.1,45.3,113.417804,68.38912001
23.04.04,19:00:00,5.6,32.5,161,23.1,36.7,189.96434519999997,213.1839832
12.10.04,3:00:00,0.6,2.4,-200,18.3,66.9,,
22.03.05,22:00:00,3.0,6.8,101,16.4,57.2,,
27.05.04,14:00:00,-200.0,10.1,-200,29.5,19.7,,
01.06.04,23:00:00,2.2,13.1,81,20.2,65.2,,
06.06.04,11:00:00,0.8,3.0,53,25.4,31.6,,
28.08.04,20:00:00,-200.0,7.1,-200,27.9,43.1,,
30.03.05,3:00:00,0.5,1.1,61,12.5,67.4,,
01.12.04,22:00:00,1.8,7.1,107,11.1,84.3,,
04.04.04,7:00:00,-200.0,3.5,-200,13.7,64.8,83.77100231,110.19665890000002
27.08.04,11:00:00,1.8,-200.0,101,-200.0,-200.0,,
15.11.04,10:00:00,1.8,6.8,141,12.6,36.6,,
24.06.04,20:00:00,2.8,13.7,122,28.3,34.5,,
05.09.04,2:00:00,1.5,7.3,-200,27.5,30.9,,
04.04.05,5:00:00,0.5,1.3,53,10.4,59.9,,
08.03.05,19:00:00,5.1,23.4,242,11.0,33.8,,
22.02.05,18:00:00,2.4,10.2,206,5.8,72.5,,
01.12.04,13:00:00,4.0,19.3,163,13.6,65.6,,
22.01.05,6:00:00,0.4,11.6,183,5.2,81.4,,
12.02.05,21:00:00,5.2,23.2,262,11.1,56.9,,
09.01.05,14:00:00,2.2,12.6,142,16.6,52.4,,
25.10.04,1:00:00,1.4,7.2,56,16.9,75.4,,
23.10.04,23:00:00,2.6,13.1,84,20.0,69.5,,
17.02.05,6:00:00,0.5,1.1,51,6.9,42.2,,
21.09.04,0:00:00,0.8,4.4,62,23.5,44.7,,
18.03.04,8:00:00,4.7,23.3,124,11.5,60.0,22.84888049,54.12595934
05.07.04,13:00:00,2.1,11.7,137,37.4,17.3,,
18.03.04,3:00:00,0.7,3.6,-200,13.9,53.9,40.89942739,56.26450724
02.11.04,14:00:00,7.5,37.9,190,25.5,49.7,,
30.06.04,22:00:00,2.5,14.4,110,28.9,41.0,,
16.08.04,7:00:00,1.3,8.5,62,22.2,45.0,,
20.11.04,17:00:00,3.4,21.1,196,13.5,19.5,,
12.05.04,20:00:00,2.2,9.4,112,16.7,47.2,115.36601100000001,69.2002189
06.03.05,5:00:00,0.6,0.8,48,5.8,65.0,,
15.04.04,15:00:00,3.0,14.8,114,21.5,30.4,152.2467521,150.3256968
27.03.05,11:00:00,1.3,4.5,89,15.9,77.3,,
18.11.04,19:00:00,4.9,22.6,214,16.8,55.2,,
06.09.04,2:00:00,0.6,1.7,-200,24.3,42.9,,
25.08.04,17:00:00,1.6,7.9,73,35.3,29.4,,
15.01.05,6:00:00,1.0,2.8,70,4.2,77.0,,
21.02.05,4:00:00,-200.0,0.5,36,4.0,81.5,,
03.04.05,12:00:00,1.4,5.3,124,26.5,16.4,,
08.03.05,0:00:00,1.5,4.4,157,3.0,47.7,,
21.02.05,20:00:00,6.3,19.7,283,5.5,79.8,,
18.02.05,10:00:00,2.0,7.4,153,10.8,37.1,,
12.10.04,23:00:00,-200.0,3.1,-200,14.8,58.4,,
16.02.05,16:00:00,1.5,5.6,155,8.9,37.9,,
09.12.04,18:00:00,2.3,9.5,118,14.6,48.0,,
01.03.05,5:00:00,0.2,0.3,30,-0.3,38.4,,
02.11.04,1:00:00,1.6,7.6,56,18.2,76.4,,
02.12.04,3:00:00,1.1,3.8,-200,11.9,78.2,,
07.12.04,0:00:00,1.4,5.1,74,14.0,66.1,,
22.10.04,1:00:00,1.3,7.9,63,21.2,68.6,,
14.09.04,0:00:00,0.8,5.6,68,24.7,49.2,,
25.02.05,0:00:00,2.5,8.1,202,5.3,84.1,,
09.10.04,10:00:00,3.6,19.5,95,26.0,48.2,,
14.04.04,19:00:00,-200.0,13.3,-200,17.9,35.8,124.450771,144.26511730000001
21.10.04,12:00:00,3.3,17.7,103,25.2,53.3,,
09.01.05,17:00:00,2.2,8.8,156,15.7,54.4,,
16.12.04,19:00:00,8.6,-200.0,227,-200.0,-200.0,,
28.09.04,16:00:00,3.2,18.8,145,28.9,21.3,,
21.03.05,16:00:00,2.0,9.2,131,22.8,35.3,,
29.01.05,12:00:00,1.1,2.4,102,3.6,45.8,,
21.11.04,14:00:00,1.1,8.7,174,13.3,24.3,,
14.03.04,9:00:00,1.6,6.4,83,12.4,60.0,27.40199974,53.56598386
20.03.05,19:00:00,2.9,12.7,155,17.3,47.8,,
30.04.04,23:00:00,3.1,13.7,108,17.7,66.9,48.7549026,138.9267718
05.05.04,5:00:00,0.8,3.5,54,14.6,77.1,46.38625544,144.8047795
09.08.04,9:00:00,2.4,14.7,5,27.7,52.5,,
21.03.04,21:00:00,2.8,9.9,123,17.4,49.1,43.37724211,58.49322834
29.11.04,15:00:00,1.9,10.8,117,18.4,49.9,,
08.10.04,18:00:00,2.3,20.0,84,26.4,45.9,,
28.02.05,16:00:00,0.9,2.5,114,3.3,33.1,,
15.02.05,2:00:00,0.6,1.3,56,8.0,32.9,,
09.07.04,22:00:00,1.5,9.5,104,23.7,43.4,,
05.11.04,7:00:00,0.8,5.7,52,16.1,69.6,,
02.02.05,14:00:00,2.2,10.1,133,13.7,19.9,,
19.03.05,20:00:00,3.2,14.7,185,15.0,57.6,,
31.07.04,18:00:00,1.3,8.1,92,37.3,24.3,,
02.04.04,22:00:00,1.9,10.1,124,17.8,47.0,90.0467791,107.18951159999999
09.08.04,22:00:00,1.5,9.1,76,28.2,51.1,,
27.12.04,19:00:00,2.1,8.0,119,13.3,63.6,,
14.05.04,15:00:00,2.1,11.4,103,28.4,20.2,122.4029372,67.17899406
27.06.04,23:00:00,1.7,9.3,99,28.2,36.6,,
13.03.04,19:00:00,4.2,19.6,165,15.8,42.4,28.90510404,51.98995406
29.06.04,10:00:00,2.7,15.3,132,32.4,32.3,,
27.04.04,20:00:00,3.6,18.9,137,21.5,34.5,178.0859714,213.47815559999998
04.09.04,9:00:00,2.0,10.3,-200,26.7,43.0,,
17.11.04,20:00:00,4.3,22.0,254,12.4,56.8,,
20.09.04,4:00:00,0.5,2.2,50,19.5,63.5,,
04.08.04,21:00:00,-200.0,5.7,-200,27.6,45.2,,
20.03.04,9:00:00,2.4,10.5,102,14.6,53.1,42.96979989,60.00228409
21.06.04,14:00:00,1.4,8.3,84,29.5,19.4,,
29.03.04,2:00:00,0.5,1.1,38,10.4,46.6,80.51864409,106.92951359999999
24.02.05,3:00:00,0.7,1.5,-200,4.3,81.0,,
02.05.04,8:00:00,1.2,5.9,68,16.0,61.6,56.73585431,170.09571100000002
26.05.04,10:00:00,2.2,14.9,136,26.1,23.8,,
17.06.04,3:00:00,0.8,4.3,-200,19.3,57.1,,
29.05.04,7:00:00,0.5,4.0,80,18.4,43.9,,
17.04.04,9:00:00,-200.0,7.2,-200,13.5,78.1,170.7185808,201.90745149999998
23.12.04,2:00:00,2.1,5.2,128,3.0,52.5,,
15.11.04,20:00:00,4.0,16.3,180,12.3,32.0,,
23.06.04,4:00:00,-200.0,2.1,37,20.8,50.3,,
16.03.05,5:00:00,0.6,1.6,86,8.0,68.9,,
11.04.04,15:00:00,0.9,3.1,46,22.0,19.0,144.345775,152.16669819999998
30.12.04,19:00:00,-200.0,5.2,-200,8.6,45.1,,
03.09.04,16:00:00,-200.0,13.9,-200,38.8,17.6,,
08.07.04,16:00:00,2.4,16.9,167,40.9,14.6,,
01.04.05,6:00:00,0.6,2.0,89,13.7,47.4,,
10.07.04,17:00:00,0.7,5.5,69,31.8,18.7,,
15.03.04,8:00:00,5.5,25.9,114,12.4,63.9,23.85485859,52.73550607
03.11.04,10:00:00,3.7,21.0,94,23.7,49.1,,
16.07.04,8:00:00,4.4,26.6,154,22.4,46.6,,
19.10.04,17:00:00,-200.0,21.1,-200,21.3,60.8,,
13.11.04,20:00:00,2.3,9.1,142,17.2,51.5,,
22.03.05,5:00:00,0.6,1.6,66,10.6,70.8,,
09.04.04,18:00:00,2.8,-200.0,127,-200.0,-200.0,120.8042162,141.44095269999997
04.01.05,20:00:00,4.5,-200.0,181,-200.0,-200.0,,
31.12.04,3:00:00,-200.0,1.2,-200,7.6,46.4,,
09.06.04,16:00:00,2.0,11.1,125,40.3,14.2,,
20.01.05,19:00:00,4.3,21.2,182,10.4,42.3,,
16.11.04,12:00:00,2.6,10.7,189,17.2,22.4,,
21.11.04,16:00:00,0.9,8.2,127,14.9,21.7,,
11.06.04,6:00:00,1.0,7.0,69,19.8,50.4,,
08.05.04,23:00:00,-200.0,6.9,-200,13.7,59.7,124.54392990000001,64.61298815
03.07.04,7:00:00,1.8,11.1,101,21.4,48.0,,
19.01.05,1:00:00,1.0,6.7,127,9.9,81.0,,
05.05.04,2:00:00,0.5,1.5,28,15.7,64.5,52.43756913,134.8134304
28.10.04,9:00:00,3.5,20.0,97,16.7,73.8,,
23.06.04,10:00:00,3.2,16.4,152,28.5,31.7,,
02.07.04,4:00:00,-200.0,3.3,54,25.3,47.2,,
12.01.05,16:00:00,3.3,17.2,166,15.8,48.9,,
15.05.04,17:00:00,1.7,8.5,97,26.0,22.7,124.43632620000001,63.30466249
04.04.05,14:00:00,2.2,11.9,168,28.5,13.1,,
10.07.04,6:00:00,0.5,4.3,56,21.1,53.2,,
22.12.04,17:00:00,3.3,11.3,136,8.1,32.5,,
06.09.04,18:00:00,2.6,13.5,-200,29.6,27.7,,
20.10.04,6:00:00,-200.0,13.1,-200,18.5,74.4,,
03.07.04,12:00:00,1.5,9.9,94,36.3,16.0,,
09.07.04,19:00:00,2.8,16.6,158,28.3,24.9,,
03.09.04,15:00:00,-200.0,13.5,-200,37.6,19.6,,
25.04.04,2:00:00,1.0,3.6,73,12.7,58.7,181.8562542,214.33202310000001
25.11.04,14:00:00,2.5,12.8,126,16.4,38.2,,
04.10.04,15:00:00,-200.0,14.9,-200,27.4,39.8,,
07.11.04,3:00:00,1.2,4.6,-200,17.1,59.2,,
06.02.05,17:00:00,1.4,3.7,150,9.2,29.9,,
09.06.04,14:00:00,2.3,14.0,137,40.6,15.3,,
08.09.04,18:00:00,4.0,18.9,188,32.4,19.8,,
30.05.04,2:00:00,0.6,6.5,76,19.2,42.0,,
10.10.04,3:00:00,1.1,4.9,-200,23.5,61.3,,
15.05.04,3:00:00,1.1,5.6,-200,14.8,50.6,117.13491770000002,60.49171049
23.01.05,1:00:00,-200.0,7.5,181,7.0,39.9,,
18.07.04,7:00:00,0.4,4.1,53,21.3,45.5,,
14.08.04,6:00:00,0.5,2.6,41,24.7,55.9,,
07.05.04,22:00:00,2.0,7.7,97,13.4,64.6,41.34830694,142.6089621
03.12.04,6:00:00,0.9,4.0,82,13.8,85.5,,
03.01.05,9:00:00,3.1,-200.0,175,-200.0,-200.0,,
05.06.04,22:00:00,0.8,5.6,43,22.1,53.5,,
09.03.05,4:00:00,0.8,2.5,90,3.8,56.8,,
19.05.04,16:00:00,2.5,15.5,135,30.4,24.7,121.4155283,65.74056173
02.04.05,20:00:00,1.1,2.9,122,14.3,38.0,,
23.07.04,18:00:00,3.0,19.9,156,38.7,20.3,,
03.03.05,10:00:00,2.1,8.8,186,7.3,39.4,,
01.09.04,9:00:00,3.9,18.7,142,26.3,43.1,,
28.03.04,22:00:00,1.1,3.2,80,11.9,46.5,86.72100093,116.1014264
02.09.04,1:00:00,1.5,7.5,96,24.4,45.6,,
31.08.04,13:00:00,-200.0,12.2,-200,31.4,31.8,,
15.08.04,7:00:00,0.5,2.5,28,23.0,58.4,,
23.12.04,14:00:00,4.9,18.6,224,10.0,34.7,,
06.04.04,7:00:00,4.5,24.1,134,15.3,55.2,126.80773429999999,151.1092597
18.10.04,19:00:00,-200.0,32.3,-200,18.5,60.3,,
19.11.04,14:00:00,4.8,17.9,184,17.8,53.5,,
05.08.04,3:00:00,-200.0,2.3,-200,25.4,54.6,,
11.02.05,10:00:00,5.4,-200.0,291,-200.0,-200.0,,
21.05.04,20:00:00,3.5,17.5,146,23.9,29.4,128.0411621,69.56767377
15.01.05,21:00:00,3.6,14.7,168,6.5,67.6,,
27.04.04,18:00:00,3.4,17.7,127,24.5,27.8,183.2822619,200.61479430000003
25.03.04,4:00:00,0.5,0.9,28,9.3,72.3,83.28820579,108.67340449999999
19.08.04,13:00:00,1.1,5.6,43,37.7,27.7,,
24.06.04,18:00:00,2.1,11.1,103,33.3,23.9,,
14.12.04,21:00:00,4.1,-200.0,148,-200.0,-200.0,,
26.03.05,3:00:00,1.2,6.4,89,16.1,71.3,,
03.10.04,21:00:00,-200.0,10.4,-200,21.9,61.4,,
08.12.04,23:00:00,2.3,7.2,107,13.8,77.3,,
18.05.04,21:00:00,2.4,12.3,122,22.2,33.4,116.4327211,68.25368255
17.06.04,5:00:00,0.5,3.4,44,20.2,53.8,,
25.08.04,9:00:00,2.9,15.6,107,28.1,47.4,,
20.08.04,12:00:00,-200.0,7.3,-200,35.7,31.4,,
07.07.04,6:00:00,1.3,9.9,88,23.9,39.3,,
28.11.04,17:00:00,3.2,8.6,132,11.2,70.9,,
01.08.04,23:00:00,1.7,9.5,88,27.4,55.5,,
03.02.05,21:00:00,2.7,12.6,216,8.3,57.6,,
18.12.04,11:00:00,2.3,8.8,140,16.1,28.5,,
03.04.05,16:00:00,1.3,6.3,132,29.4,10.4,,
18.10.04,12:00:00,-200.0,16.0,-200,22.2,43.2,,
07.11.04,0:00:00,1.9,7.5,80,18.0,60.4,,
06.10.04,18:00:00,-200.0,26.9,-200,25.7,44.1,,
15.07.04,19:00:00,3.8,22.1,175,30.5,22.7,,
14.08.04,13:00:00,0.8,3.8,53,36.2,24.1,,
03.01.05,13:00:00,1.6,-200.0,106,-200.0,-200.0,,
22.08.04,14:00:00,-200.0,1.8,-200,33.3,17.1,,
17.02.05,15:00:00,1.3,4.8,143,8.9,46.1,,
23.09.04,23:00:00,1.7,8.9,94,22.5,53.7,,
18.04.04,20:00:00,-200.0,9.2,-200,16.4,57.8,171.3889552,216.5100438
29.07.04,5:00:00,-200.0,3.7,60,21.4,40.3,,
08.08.04,0:00:00,1.5,7.4,69,25.7,54.1,,
10.07.04,16:00:00,0.5,4.4,59,32.4,18.0,,
29.01.05,2:00:00,0.7,0.8,60,1.9,49.7,,
23.02.05,18:00:00,2.8,11.4,249,4.8,79.0,,
26.04.04,2:00:00,0.4,1.3,25,14.1,45.3,190.39942030000003,213.470148
04.07.04,19:00:00,1.6,9.1,103,32.3,19.7,,
08.05.04,8:00:00,-200.0,8.5,-200,11.0,75.0,122.4356406,69.84879623
02.04.05,23:00:00,0.7,2.1,93,13.5,37.8,,
17.12.04,5:00:00,1.8,-200.0,112,-200.0,-200.0,,
23.09.04,17:00:00,4.6,25.2,190,31.6,34.8,,
